28;956;159;-1
29;80;179;-1
29;87;242;-1
29;238;285;-1
29;557;315;-1
30;486;42;-1
30;557;71;-1
30;559;293;-1
30;727;306;-1
30;947;128;-1
31;204;527;-1
31;232;528;-1
31;467;119;-1
31;531;488;-1
31;612;296;-1
31;667;699;-1
32;579;751;-1
32;681;379;-1
32;708;77;-1
32;945;237;-1
32;975;146;-1
33;265;939;-1
33;357;375;-1
33;359;67;-1
33;763;109;-1
33;938;451;-1
34;152;89;-1
34;194;490;-1
34;195;531;-1
34;251;210;-1
34;349;179;-1
34;392;540;-1
34;419;38;-1
34;741;640;-1
34;828;241;-1
34;959;171;-1
35;101;660;-1
35;252;862;-1
35;399;908;-1
35;467;244;-1
35;929;691;-1
36;147;119;-1
36;210;709;-1
36;548;513;-1
36;798;667;-1
36;968;108;-1
37;153;152;-1
37;245;375;-1
37;403;600;-1
37;654;500;-1
37;699;60;-1
37;704;46;-1
37;907;771;-1
37;942;196;-1
38;252;233;-1
38;255;839;-1
38;624;878;-1
38;752;276;-1
38;833;671;-1
39;400;371;-1
39;500;376;-1
39;907;264;-1
40;150;138;-1
40;155;542;-1
40;268;828;-1
40;608;669;-1
40;843;389;-1
40;936;759;-1
41;230;925;-1
41;248;314;-1
41;378;101;-1
41;393;279;-1
41;916;203;-1
42;553;337;-1
42;610;284;-1
42;659;610;-1
42;679;40;-1
43;143;153;-1
43;272;589;-1
43;457;589;-1
43;501;432;-1
44;43;719;-1
44;851;203;-1
45;446;113;-1
45;544;55;-1
46;632;910;-1
47;438;403;-1
47;618;276;-1
48;784;274;-1
48;846;197;-1
49;539;10;-1
49;540;539;-1
50;360;827;-1
50;520;319;-1
50;816;720;-1
50;891;331;-1
53;832;138;-1
57;393;173;-1
57;859;136;-1
58;452;241;-1
28;452;104;-1
29;100;104;-1
30;268;5;-1
29;439;117;-1
28;545;56;-1
30;109;293;-1
30;619;538;-1
31;637;788;-1
31;672;340;-1
31;951;196;-1
30;962;188;-1
32;78;533;-1
33;233;69;-1
33;310;580;-1
31;519;40;-1
31;850;261;-1
31;864;348;-1
34;138;729;-1
33;326;202;-1
32;360;606;-1
33;406;844;-1
34;425;86;-1
32;717;513;-1
33;852;343;-1
35;343;548;-1
35;376;92;-1
34;561;85;-1
35;626;94;-1
35;625;92;-1
35;61;698;-1
35;70;156;-1
35;158;93;-1
34;310;788;-1
35;343;636;-1
34;369;531;-1
36;59;130;-1
35;155;143;-1
36;439;918;-1
36;789;249;-1
36;835;836;-1
36;876;279;-1
37;550;23;-1
37;639;125;-1
37;252;232;-1
39;543;585;-1
39;542;585;-1
38;837;222;-1
38;61;710;-1
38;303;398;-1
39;403;42;-1
43;120;640;0
43;120;640;0
43;120;640;0
40;617;253;-1
40;753;170;-1
40;796;101;-1
40;877;266;-1
41;206;877;-1
42;566;590;-1
42;617;93;-1
44;83;883;-1
43;679;39;-1
58;902;593;1
61;902;593;1
57;902;593;1
61;902;593;1
57;902;593;1
61;902;593;1
57;902;593;1
59;901;592;1
61;902;593;1
57;902;593;1
61;902;593;1
58;901;592;1
57;902;593;1
61;902;593;1
59;901;592;1
57;902;593;1
61;902;593;1
58;901;592;1
61;902;593;1
56;902;593;1
59;901;592;1
61;902;593;1
56;902;593;1
58;901;592;1
61;902;593;1
56;902;593;1
61;902;593;1
56;902;593;1
59;901;592;1
59;903;594;1
58;901;592;1
61;902;593;1
56;902;593;1
59;903;594;1
58;901;592;1
60;903;594;1
56;902;593;1
61;902;593;1
59;901;592;1
60;903;594;1
56;902;593;1
59;901;592;1
60;903;594;1
56;902;593;1
61;902;593;1
58;901;592;1
61;903;594;1
56;902;593;1
61;903;594;1
59;901;592;1
56;902;593;1
61;903;594;1
59;901;592;1
59;903;594;1
61;901;593;1
56;902;593;1
61;903;594;1
59;901;592;1
56;902;593;1
61;901;593;1
61;903;594;1
56;903;593;1
57;901;592;1
61;903;594;1
61;901;593;1
56;903;593;1
57;901;592;1
61;903;594;1
56;903;593;1
61;901;593;1
57;901;592;1
61;903;593;1
58;903;594;1
57;901;592;1
61;901;593;1
56;903;593;1
61;903;594;1
57;901;592;1
61;901;593;1
56;903;593;1
61;903;594;1
57;901;592;1
61;903;593;1
56;903;593;1
61;901;592;1
61;903;594;1
56;903;593;1
61;901;593;1
57;901;592;1
57;903;594;1
61;901;592;1
61;903;594;1
57;901;592;1
56;903;593;1
61;903;594;1
61;901;592;1
57;903;594;1
57;901;592;1
62;903;593;1
61;901;593;1
56;903;593;1
56;901;592;1
62;903;593;1
61;901;592;1
57;903;594;1
56;901;592;1
61;903;594;1
61;901;592;1
56;903;593;1
62;903;593;1
56;901;592;1
57;903;594;1
61;901;593;1
61;903;594;1
56;901;592;1
61;901;592;1
56;903;593;1
62;903;593;1
56;901;592;1
57;903;594;1
61;901;592;1
62;903;594;1
56;903;593;1
56;901;592;1
61;901;593;1
62;903;594;1
58;901;591;1
57;903;594;1
62;903;593;1
61;901;592;1
55;902;592;1
57;903;594;1
58;901;591;1
62;903;594;1
61;901;593;1
56;903;593;1
56;901;592;1
62;903;593;1
57;903;594;1
59;901;591;1
62;903;594;1
55;902;592;1
61;901;593;1
58;901;591;1
57;903;594;1
62;903;594;1
55;902;592;1
61;901;592;1
57;903;594;1
62;903;593;1
58;901;591;1
61;901;593;1
55;902;592;1
62;903;594;1
57;903;594;1
59;901;591;1
55;902;593;1
61;901;593;1
62;903;594;1
59;900;592;1
55;902;592;1
57;903;594;1
62;903;593;1
59;901;591;1
55;902;592;1
59;900;592;1
62;903;594;1
56;903;594;1
61;901;593;1
59;901;591;1
56;903;594;1
62;903;593;1
55;902;592;1
59;900;592;1
62;903;594;1
56;903;594;1
55;902;592;1
61;901;593;1
59;901;591;1
62;903;594;1
56;903;594;1
59;900;592;1
62;903;593;1
55;902;592;1
61;901;594;1
59;901;591;1
56;903;594;1
62;903;594;1
55;902;592;1
59;900;592;1
61;901;594;1
56;903;594;1
62;903;593;1
59;901;591;1
55;902;592;1
61;901;594;1
56;903;594;1
62;903;593;1
59;900;592;1
55;902;592;1
62;903;594;1
59;901;591;1
56;903;594;1
61;901;594;1
56;901;593;1
62;903;593;1
59;900;592;1
56;903;594;1
59;901;591;1
62;903;594;1
55;902;592;1
61;901;594;1
56;903;594;1
63;903;593;1
59;900;592;1
55;902;592;1
61;901;594;1
59;901;591;1
56;903;594;1
63;903;593;1
56;901;593;1
63;903;594;1
59;901;591;1
56;903;594;1
61;901;594;1
55;902;592;1
59;900;592;1
63;903;593;1
56;903;594;1
59;900;593;1
63;903;594;1
55;902;592;1
59;901;591;1
61;901;594;1
56;903;594;1
63;903;593;1
59;901;591;1
55;902;592;1
61;901;594;1
63;903;594;1
56;903;594;1
59;900;593;1
59;901;591;1
55;902;592;1
63;903;593;1
57;901;594;1
61;901;592;1
56;903;594;1
63;903;594;1
59;900;593;1
55;902;592;1
59;901;591;1
63;903;594;1
56;903;594;1
61;901;594;1
55;903;593;1
63;903;593;1
59;901;591;1
57;901;594;1
59;900;592;1
55;902;592;1
63;903;594;1
56;903;594;1
61;901;594;1
59;901;591;1
63;903;593;1
55;902;592;1
59;900;593;1
56;903;594;1
63;903;593;1
61;901;594;1
59;901;591;1
55;903;593;1
57;901;594;1
63;903;594;1
57;901;591;1
61;901;592;1
56;903;594;1
63;903;594;1
55;901;592;1
59;900;593;1
55;903;593;1
63;903;593;1
61;901;594;1
59;901;591;1
59;903;595;1
57;901;594;1
55;902;592;1
63;903;593;1
59;900;592;1
56;903;594;1
56;901;591;1
59;903;595;1
61;901;594;1
63;903;593;1
55;903;593;1
59;901;591;1
57;901;594;1
63;903;594;1
55;901;592;1
61;901;592;1
59;903;595;1
55;903;593;1
59;900;593;1
63;903;593;1
56;901;591;1
59;903;595;1
55;903;593;1
61;901;594;1
59;901;591;1
61;903;592;1
59;900;593;1
63;903;594;1
55;901;592;1
59;903;595;1
55;903;593;1
57;901;594;1
61;903;592;1
56;901;591;1
63;903;594;1
59;900;592;1
55;903;593;1
61;901;594;1
59;903;595;1
59;901;591;1
61;903;592;1
57;901;594;1
63;903;594;1
56;901;591;1
55;903;593;1
59;900;593;1
59;903;595;1
61;903;592;1
60;901;591;1
55;903;593;1
63;903;594;1
55;901;592;1
61;901;594;1
59;903;595;1
56;901;591;1
59;900;593;1
62;903;592;1
56;903;594;1
60;901;591;1
63;903;594;1
57;901;594;1
55;903;593;1
56;901;591;1
61;904;594;1
61;901;594;1
62;903;592;1
44;503;817;-1
46;385;602;-1
50;890;83;-1
